iter	MultiClass
0	1.07959709
1	1.061596875
2	1.046314807
3	1.031703687
4	1.019642999
5	1.007694722
6	0.9978298635
7	0.9881796442
8	0.9794756553
9	0.971811754
10	0.9641670871
11	0.9576607291
12	0.9515108186
13	0.9458531329
14	0.940849642
15	0.936114025
16	0.9319948501
17	0.9277388084
18	0.9240615988
19	0.9204732758
20	0.917160751
21	0.9140328496
22	0.911254084
23	0.9086429852
24	0.9060767687
25	0.9040683215
26	0.9019308832
27	0.8997620841
28	0.8979386423
29	0.8965541083
30	0.8949481722
31	0.8933878028
32	0.8919682348
33	0.8907277926
34	0.8894706068
35	0.8883915766
36	0.8873182156
37	0.8862236271
38	0.8852713065
39	0.8844437104
40	0.8836836893
41	0.8830027336
42	0.8822103527
43	0.8815171639
44	0.8808361808
45	0.8802409342
46	0.8796488615
47	0.8790673692
48	0.8785057696
49	0.8778979105
50	0.8772821425
51	0.8767707423
52	0.8763155363
53	0.8759624266
54	0.8754563692
55	0.8750415245
56	0.8748095692
57	0.8744250397
58	0.874132416
59	0.8737276421
60	0.8733576816
61	0.8729253868
62	0.8725872487
63	0.8722369499
64	0.8718477836
65	0.8715551011
66	0.8713429233
67	0.8710223925
68	0.8708080596
69	0.8706364183
70	0.8704848169
71	0.8702446757
72	0.8700430246
73	0.8697502031
74	0.8696013934
75	0.8693778243
76	0.8690615194
77	0.8689117419
78	0.868761373
79	0.8684185663
80	0.868206722
81	0.8679859337
82	0.8677736063
83	0.8676531072
84	0.8674768464
85	0.8672500939
86	0.8670937941
87	0.8669373538
88	0.8667826011
89	0.8666385933
90	0.8664960047
91	0.8662751725
92	0.8661395025
93	0.8659839024
94	0.8658881076
95	0.8657788132
96	0.865704968
97	0.8656047222
98	0.8654721304
99	0.8652709981
100	0.8651083502
101	0.8649553197
102	0.8647762146
103	0.8646169935
104	0.8645042544
105	0.8643756655
106	0.8642269022
107	0.8641055356
108	0.8640033253
109	0.863786758
110	0.8636668883
111	0.8635778771
112	0.8634581666
113	0.8633276054
114	0.8632095813
115	0.8631036953
116	0.8630165333
117	0.8628737138
118	0.8627646441
119	0.8626671405
120	0.8625543015
121	0.8624076633
122	0.8623238815
123	0.8621582511
124	0.8620092254
125	0.8618713391
126	0.8618068617
127	0.8617096296
128	0.8615880104
129	0.8614760227
130	0.8613081791
131	0.8611607493
132	0.8610718555
133	0.8610107444
134	0.8608817264
135	0.8607526275
136	0.8606721874
137	0.8605729022
138	0.8604573453
139	0.8603541023
140	0.8602393019
141	0.8601424584
142	0.8600411935
143	0.8598794461
144	0.8597107769
145	0.8595953421
146	0.859517695
147	0.8593634166
148	0.8592248521
149	0.8591169009
150	0.8590143734
151	0.858933215
152	0.8588649539
153	0.8588027915
154	0.8586470564
155	0.8585683763
156	0.8583805987
157	0.8582870118
158	0.8581409617
159	0.8580040993
160	0.8579358662
161	0.8578304781
162	0.8576453355
163	0.8575397197
164	0.8574435838
165	0.8572984062
166	0.8571594598
167	0.8570762608
168	0.8569659508
169	0.856925317
170	0.856790383
171	0.8566695023
172	0.8565879022
173	0.8564829503
174	0.8563960542
175	0.8562515199
176	0.8561627241
177	0.8560311533
178	0.8559131317
179	0.8558462508
180	0.8557468077
181	0.8556763177
182	0.8556162352
183	0.8554700113
184	0.8553573531
185	0.855253647
186	0.855167322
187	0.8550846027
188	0.854933685
189	0.8548722047
190	0.8548019251
191	0.8546746338
192	0.8545607846
193	0.8544398341
194	0.8542208566
195	0.8541435579
196	0.8539834557
197	0.8538527142
198	0.8537512824
199	0.8536834513
200	0.85360162
201	0.8534293036
202	0.8532513075
203	0.853140404
204	0.8530474617
205	0.852944319
206	0.8528592283
207	0.8528052789
208	0.8526787577
209	0.8524829489
210	0.852411318
211	0.8522731615
212	0.8520996627
213	0.8520132656
214	0.8518332214
215	0.851670273
216	0.8515486434
217	0.8513971235
218	0.8513009451
219	0.8511832947
220	0.8510743649
221	0.8509803145
222	0.8508623527
223	0.8507415102
224	0.8506065879
225	0.8504889433
226	0.8503557172
227	0.8502691595
228	0.8501986875
229	0.8500998415
230	0.8499989483
231	0.849845846
232	0.8496771189
233	0.8496033775
234	0.8494525735
235	0.8493214484
236	0.84921474
237	0.8491373231
238	0.8489961813
239	0.8488826075
240	0.8487049282
241	0.848629098
242	0.8485282989
243	0.8483478835
244	0.8481898903
245	0.8480455431
246	0.8479189341
247	0.8478537387
248	0.8477582293
249	0.8476810133
250	0.8475467963
251	0.8474590541
252	0.8472949082
253	0.8471573558
254	0.8470969811
255	0.8468979968
256	0.8467754164
257	0.8466687367
258	0.8465472879
259	0.8464165768
260	0.8463066308
261	0.8461957688
262	0.8460854886
263	0.8459154665
264	0.8458120718
265	0.8457081689
266	0.8454915188
267	0.8453983234
268	0.8452396325
269	0.8451565786
270	0.844989315
271	0.8448741718
272	0.8447174936
273	0.8446158188
274	0.8445207553
275	0.8444076668
276	0.8443656385
277	0.844222663
278	0.8441303088
279	0.8440145381
280	0.8438670251
281	0.8437419161
282	0.8435552684
283	0.8434721887
284	0.8433908701
