iter	Passed	Remaining
0	152	60745
1	156	31084
2	162	21485
3	166	16483
4	170	13468
5	175	11530
6	179	10094
7	183	9013
8	188	8181
9	193	7539
10	197	6978
11	202	6532
12	206	6140
13	209	5785
14	213	5476
15	216	5205
16	220	4974
17	224	4767
18	228	4573
19	232	4411
20	237	4277
21	241	4151
22	244	4010
23	248	3890
24	251	3775
25	255	3680
26	259	3588
27	264	3514
28	268	3435
29	272	3365
30	276	3291
31	280	3222
32	284	3159
33	288	3100
34	292	3046
35	296	3000
36	299	2941
37	303	2891
38	308	2856
39	312	2809
40	315	2766
41	320	2729
42	324	2697
43	329	2663
44	333	2629
45	337	2600
46	341	2566
47	345	2533
48	350	2507
49	355	2488
50	360	2464
51	363	2434
52	368	2415
53	372	2388
54	376	2361
55	381	2344
56	392	2364
57	398	2351
58	403	2331
59	407	2307
60	410	2283
61	416	2271
62	422	2261
63	426	2241
64	432	2229
65	437	2211
66	440	2189
67	445	2173
68	449	2157
69	454	2141
70	458	2124
71	465	2119
72	469	2101
73	473	2085
74	477	2070
75	482	2058
76	486	2042
77	490	2026
78	494	2010
79	499	1997
80	503	1983
81	506	1965
82	510	1950
83	516	1941
84	520	1928
85	524	1915
86	529	1905
87	533	1891
88	536	1875
89	540	1861
90	545	1852
91	549	1838
92	552	1824
93	556	1812
94	562	1806
95	566	1794
96	570	1782
97	574	1770
98	580	1763
99	584	1753
100	588	1743
101	593	1735
102	597	1723
103	601	1710
104	605	1701
105	610	1694
106	615	1684
107	619	1674
108	623	1665
109	628	1657
110	633	1648
111	637	1638
112	641	1628
113	644	1617
114	648	1606
115	653	1599
116	658	1593
117	663	1584
118	668	1577
119	672	1568
120	675	1558
121	680	1550
122	685	1544
123	690	1537
124	694	1528
125	698	1519
126	703	1512
127	707	1503
128	711	1495
129	715	1486
130	719	1477
131	723	1468
132	727	1460
133	731	1452
134	736	1444
135	740	1436
136	743	1428
137	747	1420
138	751	1411
139	755	1403
140	760	1396
141	764	1388
142	770	1385
143	775	1378
144	779	1370
145	783	1363
146	787	1356
147	792	1349
148	796	1342
149	801	1336
150	805	1328
151	809	1320
152	812	1311
153	817	1306
154	822	1299
155	825	1291
156	829	1283
157	833	1277
158	838	1270
159	842	1263
160	846	1256
161	851	1250
162	854	1242
163	857	1234
164	861	1226
165	865	1219
166	869	1213
167	873	1205
168	877	1198
169	881	1193
170	885	1185
171	888	1178
172	892	1170
173	895	1163
174	899	1156
175	903	1149
176	907	1143
177	910	1136
178	915	1129
179	919	1123
180	924	1118
181	929	1112
